股票代码: 600064{'流通市值': '110.74亿', '总市值': '110.74亿', '流通股本': '12.36亿', '总股本': '12.36亿'}
股票代码: 600065{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600066{'流通市值': '318.36亿', '总市值': '318.36亿', '流通股本': '22.14亿', '总股本': '22.14亿'}
股票代码: 600067{'流通市值': '52.97亿', '总市值': '52.97亿', '流通股本': '14.92亿', '总股本': '14.92亿'}
股票代码: 600068{'流通市值': '281.81亿', '总市值': '281.81亿', '流通股本': '46.05亿', '总股本': '46.05亿'}
股票代码: 600069{'流通市值': '32.64亿', '总市值': '32.64亿', '流通股本': '16.24亿', '总股本': '16.24亿'}
股票代码: 600070{'流通市值': '49.39亿', '总市值': '53.81亿', '流通股本': '4.79亿', '总股本': '5.22亿'}
股票代码: 600071{'流通市值': '23.84亿', '总市值': '28.27亿', '流通股本': '2.37亿', '总股本': '2.82亿'}
股票代码: 600072{'流通市值': '90.49亿', '总市值': '90.49亿', '流通股本': '7.36亿', '总股本': '7.36亿'}
股票代码: 600073{'流通市值': '70.80亿', '总市值': '70.80亿', '流通股本': '9.38亿', '总股本': '9.38亿'}
股票代码: 600074{'流通市值': '10.67亿', '总市值': '25.35亿', '流通股本': '10.26亿', '总股本': '24.38亿'}
股票代码: 600075{'流通市值': '48.43亿', '总市值': '48.43亿', '流通股本': '9.73亿', '总股本': '9.73亿'}
股票代码: 600076{'流通市值': '40.54亿', '总市值': '40.54亿', '流通股本': '10.34亿', '总股本': '10.34亿'}
股票代码: 600077{'流通市值': '36.85亿', '总市值': '36.85亿', '流通股本': '13.40亿', '总股本': '13.40亿'}
股票代码: 600078{'流通市值': '30.35亿', '总市值': '30.35亿', '流通股本': '6.63亿', '总股本': '6.63亿'}
股票代码: 600079{'流通市值': '197.92亿', '总市值': '208.34亿', '流通股本': '12.86亿', '总股本': '13.54亿'}
股票代码: 600080{'流通市值': '19.17亿', '总市值': '23.44亿', '流通股本': '3.05亿', '总股本': '3.73亿'}
股票代码: 600081{'流通市值': '33.58亿', '总市值': '33.58亿', '流通股本': '3.14亿', '总股本': '3.14亿'}
股票代码: 600082{'流通市值': '22.01亿', '总市值': '22.42亿', '流通股本': '6.34亿', '总股本': '6.46亿'}
股票代码: 600083{'流通市值': '68.51亿', '总市值': '69.12亿', '流通股本': '2.28亿', '总股本': '2.30亿'}
股票代码: 600084{'流通市值': '27.31亿', '总市值': '27.31亿', '流通股本': '11.24亿', '总股本': '11.24亿'}
股票代码: 600085{'流通市值': '382.37亿', '总市值': '382.37亿', '流通股本': '13.71亿', '总股本': '13.71亿'}
股票代码: 600086{'流通市值': '22.41亿', '总市值': '28.62亿', '流通股本': '10.57亿', '总股本': '13.50亿'}
股票代码: 600087{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600088{'流通市值': '54.33亿', '总市值': '54.33亿', '流通股本': '3.98亿', '总股本': '3.98亿'}
股票代码: 600089{'流通市值': '234.37亿', '总市值': '234.37亿', '流通股本': '37.14亿', '总股本': '37.14亿'}
股票代码: 600090{'流通市值': '64.93亿', '总市值': '64.93亿', '流通股本': '14.40亿', '总股本': '14.40亿'}
股票代码: 600091{'流通市值': '14.83亿', '总市值': '14.83亿', '流通股本': '4.37亿', '总股本': '4.37亿'}
股票代码: 600092{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600093{'流通市值': '149.85亿', '总市值': '149.85亿', '流通股本': '11.22亿', '总股本': '11.22亿'}
股票代码: 600094{'流通市值': '152.30亿', '总市值': '165.60亿', '流通股本': '22.77亿', '总股本': '24.75亿'}
股票代码: 600095{'流通市值': '32.15亿', '总市值': '32.15亿', '流通股本': '3.61亿', '总股本': '3.61亿'}
股票代码: 600096{'流通市值': '66.86亿', '总市值': '72.48亿', '流通股本': '13.21亿', '总股本': '14.32亿'}
股票代码: 600097{'流通市值': '20.64亿', '总市值': '21.97亿', '流通股本': '2.26亿', '总股本': '2.41亿'}
股票代码: 600098{'流通市值': '164.12亿', '总市值': '164.12亿', '流通股本': '27.26亿', '总股本': '27.26亿'}
股票代码: 600099{'流通市值': '12.88亿', '总市值': '12.88亿', '流通股本': '2.19亿', '总股本': '2.19亿'}
股票代码: 600100{'流通市值': '271.79亿', '总市值': '271.79亿', '流通股本': '29.64亿', '总股本': '29.64亿'}
股票代码: 600101{'流通市值': '25.29亿', '总市值': '25.29亿', '流通股本': '4.21亿', '总股本': '4.21亿'}
股票代码: 600102{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600103{'流通市值': '44.27亿', '总市值': '44.27亿', '流通股本': '23.06亿', '总股本': '23.06亿'}
股票代码: 600104{'流通市值': '2529.47亿', '总市值': '2529.47亿', '流通股本': '116.83亿', '总股本': '116.83亿'}
股票代码: 600105{'流通市值': '49.16亿', '总市值': '49.44亿', '流通股本': '12.38亿', '总股本': '12.45亿'}
股票代码: 600106{'流通市值': '33.23亿', '总市值': '33.23亿', '流通股本': '12.08亿', '总股本': '12.08亿'}
股票代码: 600107{'流通市值': '20.95亿', '总市值': '20.95亿', '流通股本': '3.60亿', '总股本': '3.60亿'}
股票代码: 600108{'流通市值': '54.51亿', '总市值': '54.51亿', '流通股本': '19.47亿', '总股本': '19.47亿'}
股票代码: 600109{'流通市值': '251.32亿', '总市值': '251.32亿', '流通股本': '30.24亿', '总股本': '30.24亿'}
股票代码: 600110{'流通市值': '58.09亿', '总市值': '58.09亿', '流通股本': '11.50亿', '总股本': '11.50亿'}
股票代码: 600111{'流通市值': '357.13亿', '总市值': '357.13亿', '流通股本': '36.33亿', '总股本': '36.33亿'}
股票代码: 600112{'流通市值': '9.52亿', '总市值': '9.52亿', '流通股本': '5.09亿', '总股本': '5.09亿'}
股票代码: 600113{'流通市值': '26.08亿', '总市值': '26.08亿', '流通股本': '4.11亿', '总股本': '4.11亿'}
股票代码: 600114{'流通市值': '78.22亿', '总市值': '79.03亿', '流通股本': '6.10亿', '总股本': '6.16亿'}
股票代码: 600115{'流通市值': '474.73亿', '总市值': '792.77亿', '流通股本': '98.08亿', '总股本': '163.80亿'}
股票代码: 600116{'流通市值': '74.28亿', '总市值': '74.28亿', '流通股本': '9.93亿', '总股本': '9.93亿'}
股票代码: 600117{'流通市值': '33.97亿', '总市值': '33.97亿', '流通股本': '10.45亿', '总股本': '10.45亿'}
股票代码: 600118{'流通市值': '447.34亿', '总市值': '447.34亿', '流通股本': '11.82亿', '总股本': '11.82亿'}
股票代码: 600119{'流通市值': '18.29亿', '总市值': '18.29亿', '流通股本': '3.07亿', '总股本': '3.07亿'}
股票代码: 600120{'流通市值': '110.40亿', '总市值': '145.13亿', '流通股本': '12.11亿', '总股本': '15.91亿'}
股票代码: 600121{'流通市值': '25.59亿', '总市值': '25.59亿', '流通股本': '12.18亿', '总股本': '12.18亿'}
股票代码: 600122{'流通市值': '24.90亿', '总市值': '24.90亿', '流通股本': '11.58亿', '总股本': '11.58亿'}
股票代码: 600123{'流通市值': '65.57亿', '总市值': '65.57亿', '流通股本': '11.42亿', '总股本': '11.42亿'}
股票代码: 600125{'流通市值': '66.71亿', '总市值': '66.71亿', '流通股本': '13.06亿', '总股本': '13.06亿'}
股票代码: 600126{'流通市值': '155.01亿', '总市值': '155.01亿', '流通股本': '33.77亿', '总股本': '33.77亿'}
股票代码: 600127{'流通市值': '27.34亿', '总市值': '27.34亿', '流通股本': '6.42亿', '总股本': '6.42亿'}
股票代码: 600128{'流通市值': '17.89亿', '总市值': '17.89亿', '流通股本': '2.47亿', '总股本': '2.47亿'}
股票代码: 600129{'流通市值': '70.87亿', '总市值': '72.56亿', '流通股本': '5.44亿', '总股本': '5.57亿'}
股票代码: 600130{'流通市值': '27.03亿', '总市值': '27.03亿', '流通股本': '7.68亿', '总股本': '7.68亿'}
股票代码: 600131{'流通市值': '67.75亿', '总市值': '184.04亿', '流通股本': '4.08亿', '总股本': '11.07亿'}
股票代码: 600132{'流通市值': '238.99亿', '总市值': '238.99亿', '流通股本': '4.84亿', '总股本': '4.84亿'}
股票代码: 600133{'流通市值': '33.83亿', '总市值': '36.79亿', '流通股本': '6.93亿', '总股本': '7.54亿'}
股票代码: 600135{'流通市值': '33.87亿', '总市值': '50.24亿', '流通股本': '3.73亿', '总股本': '5.53亿'}
股票代码: 600136{'流通市值': '59.55亿', '总市值': '71.50亿', '流通股本': '4.87亿', '总股本': '5.85亿'}
股票代码: 600137{'流通市值': '13.72亿', '总市值': '13.72亿', '流通股本': '9721.76万', '总股本': '9721.76万'}
股票代码: 600138{'流通市值': '76.80亿', '总市值': '76.80亿', '流通股本': '7.24亿', '总股本': '7.24亿'}
股票代码: 600139{'流通市值': '21.45亿', '总市值': '21.45亿', '流通股本': '6.62亿', '总股本': '6.62亿'}
股票代码: 600141{'流通市值': '69.65亿', '总市值': '100.36亿', '流通股本': '7.14亿', '总股本': '10.28亿'}
股票代码: 600143{'流通市值': '246.55亿', '总市值': '246.55亿', '流通股本': '25.74亿', '总股本': '25.74亿'}
